Column,Row,Section,Nuclear_Area_µm2
1,A,A - 1,97.065
1,B,B - 1,100.053
1,C,C - 1,97.007
1,D,D - 1,96.119
1,E,E - 1,96.793
1,F,F - 1,94.757
1,G,G - 1,96.51
1,H,H - 1,96.06
1,I,I - 1,98.901
1,J,J - 1,97.113
1,K,K - 1,96.828
1,L,L - 1,95.365
1,M,M - 1,98.175
1,N,N - 1,95.14
1,O,O - 1,93.65
1,P,P - 1,96.304
2,A,A - 2,93.153
2,B,B - 2,99.391
2,C,C - 2,100.755
2,D,D - 2,97.759
2,E,E - 2,96.244
2,F,F - 2,95.748
2,G,G - 2,92.43
2,H,H - 2,96.645
2,I,I - 2,95.805
2,J,J - 2,95.035
2,K,K - 2,92.871
2,L,L - 2,94.215
2,M,M - 2,92.351
2,N,N - 2,93.956
2,O,O - 2,94.515
2,P,P - 2,99.61
3,C,C - 3,76.96
3,D,D - 3,96.775
3,E,E - 3,101.236
3,F,F - 3,91.685
3,G,G - 3,94.688
3,H,H - 3,102.92
3,I,I - 3,93.583
3,J,J - 3,113.753
4,C,C - 4,86.277
4,D,D - 4,98.523
4,E,E - 4,93.93
4,F,F - 4,91.992
4,G,G - 4,96.309
4,H,H - 4,82.73
4,I,I - 4,93.423
4,J,J - 4,106.644
5,C,C - 5,93.771
5,D,D - 5,97.592
5,E,E - 5,96.144
5,F,F - 5,96.845
5,G,G - 5,93.424
5,H,H - 5,78.009
5,I,I - 5,109.129
5,J,J - 5,97.581
6,C,C - 6,94.546
6,D,D - 6,96.079
6,E,E - 6,95.172
6,F,F - 6,91.162
6,G,G - 6,92.651
6,H,H - 6,93.581
6,I,I - 6,97.787
6,J,J - 6,101.373
7,C,C - 7,98.224
7,D,D - 7,94.87
7,E,E - 7,93.444
7,F,F - 7,94.343
7,G,G - 7,97.859
7,H,H - 7,101.373
7,I,I - 7,98.158
7,J,J - 7,96.936
8,C,C - 8,97.926
8,D,D - 8,95.733
8,E,E - 8,98.794
8,F,F - 8,96.012
8,G,G - 8,99.323
8,H,H - 8,98.071
8,I,I - 8,99.569
8,J,J - 8,95.812
9,C,C - 9,94.575
9,D,D - 9,95.695
9,E,E - 9,98.518
9,F,F - 9,95.911
9,G,G - 9,94.604
9,H,H - 9,99.471
9,I,I - 9,97.671
9,J,J - 9,100.529
10,C,C - 10,93.651
10,D,D - 10,97.065
10,E,E - 10,94.119
10,F,F - 10,97.409
10,G,G - 10,97.457
10,H,H - 10,93.787
10,I,I - 10,98.784
10,J,J - 10,96.091
11,C,C - 11,94.867
11,D,D - 11,95.601
11,E,E - 11,94.014
11,F,F - 11,97.577
11,G,G - 11,95.542
11,H,H - 11,92.415
11,I,I - 11,96.533
11,J,J - 11,95.881
12,C,C - 12,96.186
12,D,D - 12,96.284
12,E,E - 12,94.322
12,F,F - 12,97.282
12,G,G - 12,101.037
12,H,H - 12,95.322
12,I,I - 12,96.917
12,J,J - 12,97.644
23,A,A - 23,92.634
23,B,B - 23,94.333
23,C,C - 23,91.938
23,D,D - 23,91.876
23,E,E - 23,95.6
23,F,F - 23,95.227
23,G,G - 23,91.695
23,H,H - 23,91.07
23,I,I - 23,95.15
23,J,J - 23,91.535
23,K,K - 23,88.373
23,L,L - 23,91.523
23,M,M - 23,92.436
23,N,N - 23,95.471
23,O,O - 23,94.642
23,P,P - 23,92.572
24,A,A - 24,97.859
24,B,B - 24,97.75
24,C,C - 24,99.541
24,D,D - 24,94.598
24,E,E - 24,96.131
24,F,F - 24,96.661
24,G,G - 24,94.867
24,H,H - 24,93.988
24,I,I - 24,93.937
24,J,J - 24,90.223
24,K,K - 24,93.5
24,L,L - 24,94.075
24,M,M - 24,93.756
24,N,N - 24,96.451
24,O,O - 24,93.657
24,P,P - 24,93.725